objectid,candidate_id,time_mjd,t_days,band,mag
9994,9994_1,61405.495915061154,0.1959504634141922,u,16.409061431884766
,9994_2,61405.495915061154,0.1959504634141922,g,16.723403930664062
,9994_3,61405.495915061154,0.1959504634141922,r,17.066680908203125
,9994_4,61405.495915061154,0.1959504634141922,i,17.339094161987305
,9994_5,61405.495915061154,0.1959504634141922,z,17.535932540893555
,9994_6,61405.495915061154,0.1959504634141922,y,17.598163604736328
,9994_7,61405.50753610424,0.20757150650024414,u,16.369426727294922
,9994_8,61405.50753610424,0.20757150650024414,g,16.724987030029297
,9994_9,61405.50753610424,0.20757150650024414,r,17.083093643188477
,9994_10,61405.50753610424,0.20757150650024414,i,17.366931915283203
,9994_11,61405.50753610424,0.20757150650024414,z,17.50201988220215
,9994_12,61405.50753610424,0.20757150650024414,y,17.698165893554688
,9994_13,61405.51984632603,0.21988172829151154,u,16.359317779541016
,9994_14,61405.51984632603,0.21988172829151154,g,16.724977493286133
,9994_15,61405.51984632603,0.21988172829151154,r,17.080881118774414
,9994_16,61405.51984632603,0.21988172829151154,i,17.378347396850586
,9994_17,61405.51984632603,0.21988172829151154,z,17.54878807067871
,9994_18,61405.51984632603,0.21988172829151154,y,17.73603630065918
,9994_19,61405.532886630215,0.2329220324754715,u,16.307514190673828
,9994_20,61405.532886630215,0.2329220324754715,g,16.733055114746094
,9994_21,61405.532886630215,0.2329220324754715,r,17.107898712158203
,9994_22,61405.532886630215,0.2329220324754715,i,17.39901351928711
,9994_23,61405.532886630215,0.2329220324754715,z,17.616079330444336
,9994_24,61405.532886630215,0.2329220324754715,y,17.741300582885742
,9994_25,61405.546700304665,0.24673570692539215,u,16.302001953125
,9994_26,61405.546700304665,0.24673570692539215,g,16.740474700927734
,9994_27,61405.546700304665,0.24673570692539215,r,17.113658905029297
,9994_28,61405.546700304665,0.24673570692539215,i,17.455013275146484
,9994_29,61405.546700304665,0.24673570692539215,z,17.630050659179688
,9994_30,61405.546700304665,0.24673570692539215,y,17.78329086303711
,9994_31,61405.561333230056,0.26136863231658936,u,16.265562057495117
,9994_32,61405.561333230056,0.26136863231658936,g,16.740293502807617
,9994_33,61405.561333230056,0.26136863231658936,r,17.115270614624023
,9994_34,61405.561333230056,0.26136863231658936,i,17.467144012451172
,9994_35,61405.561333230056,0.26136863231658936,z,17.691715240478516
,9994_36,61405.561333230056,0.26136863231658936,y,17.86066246032715
,9994_37,61405.57683395437,0.27686935663223267,u,16.23751449584961
